ranking_validacion,modelo,variables,preprocesamiento,dimension,train_n,validacion_n,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,kappa,train_seconds,prediction_ms_per_image,nota
1,SVM con PCA sobre diferencias locales de pixeles,Diferencias locales de pixeles,Estandarizacion + PCA con whitening,9072,13999,3003,0.8381618381618382,0.8381651468927506,0.845108695652174,0.8282290279627164,0.8365837256220578,0.9152939318749772,0.914886451649913,0.6763257939505446,27.43515866296366,0.5081455601079069,Modelo adicional; el umbral se eligio sobre validacion
2,SVM RBF con PCA sobre variables construidas (200 comp.),Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.7515817515817516,0.7515777320224155,0.7457737321196359,0.7636484687083888,0.7546052631578948,0.8309187572244334,0.8259355152810793,0.503159481282635,75.32297607697546,2.527288692976065,Candidato evaluado en validacion
3,Gradient Boosting sobre estadisticos,Color + textura + frecuencia,Sin estandarizacion,376,13999,3003,0.7316017316017316,0.7316008147253806,0.7304635761589404,0.7343541944074568,0.7324037184594954,0.8121940011585708,0.7966808933631451,0.4632024512774019,3.585504616959952,0.005128746588667591,Candidato evaluado en validacion
4,SVM RBF con PCA sobre variables construidas (100 comp.),Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.7176157176157176,0.717621896099449,0.7261410788381742,0.6990679094540613,0.7123473541383989,0.8024552650651897,0.8067049384640032,0.4352383867147477,51.37284846697003,1.1992873206841341,Candidato evaluado en validacion
5,Red neuronal con PCA sobre variables construidas (200 comp.),Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.7246087246087246,0.7245994902643689,0.7129337539432177,0.7523302263648469,0.732102364755426,0.7999873142716218,0.7941201612955511,0.44920724936187606,6.972276264918037,0.023009756544640252,Candidato evaluado en validacion
6,Red neuronal con PCA sobre variables construidas (100 comp.),Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.7202797202797203,0.7202788021478801,0.7192052980132451,0.7230359520639148,0.7211155378486056,0.7922818431742353,0.7861535093253449,0.44055838594667196,6.034366238978691,0.022193054914228863,Candidato evaluado en validacion
7,SVM lineal sobre variables construidas (alpha=1e-4),Color + textura + HOG + frecuencia,Estandarizacion,4732,13999,3003,0.7029637029637029,0.7029681055949385,0.7086183310533516,0.6897470039946738,0.699055330634278,0.7811964682222504,0.7776658148802253,0.4059326101053794,1.1520695929648355,0.03135613385368358,Candidato evaluado en validacion
8,LDA con PCA sobre variables construidas,Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.7202797202797203,0.7202779150340075,0.7180500658761528,0.725699067909454,0.7218543046357616,0.7810554171165073,0.7605980905096936,0.4405573933663164,3.3299160359892994,0.031225015311599612,Candidato evaluado en validacion
9,SVM lineal sobre variables construidas (alpha=1e-5),Color + textura + HOG + frecuencia,Estandarizacion,4732,13999,3003,0.7056277056277056,0.7056314432189459,0.7104904632152589,0.6944074567243675,0.7023569023569024,0.7801456818401581,0.7712642936496447,0.41125978534667484,1.1747453470015898,0.020986736903746764,Candidato evaluado en validacion
10,SVM lineal sobre variables construidas (alpha=1e-3),Color + textura + HOG + frecuencia,Estandarizacion,4732,13999,3003,0.7062937062937062,0.7062965568449263,0.7100271002710027,0.6977363515312917,0.7038280725319006,0.7768287630705141,0.7578692772542034,0.4125907345925842,1.4875678459648043,0.021304739291816602,Candidato evaluado en validacion
11,Random Forest sobre estadisticos,Color + textura + frecuencia,Sin estandarizacion,376,13999,3003,0.7086247086247086,0.7086305534437317,0.7163561076604554,0.6910785619174434,0.7034903422568621,0.7745919054407582,0.75828860315981,0.4172562023500701,6.1877143770689145,0.04440736731274293,Candidato evaluado en validacion
12,QDA con PCA sobre variables construidas,Color + textura + HOG + frecuencia,Estandarizacion + PCA con whitening,4732,13999,3003,0.6886446886446886,0.6886296840721365,0.6731826511912035,0.7336884154460719,0.7021344377190188,0.7535411368009431,0.7491100185792967,0.3772706636631049,2.9326041350141168,0.02104324109410688,Candidato evaluado en validacion
13,SVM lineal sobre HOG (alpha=1e-4),Gradientes HOG,Estandarizacion,4356,13999,3003,0.665001665001665,0.6650022931893607,0.6657754010695187,0.6631158455392809,0.6644429619746498,0.7301253225767819,0.7053580867235445,0.3300041472518358,1.9873973360517994,0.031690873144255886,Candidato evaluado en validacion
14,SVM lineal sobre HOG (alpha=1e-3),Gradientes HOG,Estandarizacion,4356,13999,3003,0.6616716616716617,0.6616720677116277,0.6622162883845126,0.6604527296937417,0.6613333333333333,0.7252595029855817,0.7080050316159303,0.32334384858044163,1.5135487559018657,0.020394640707367764,Candidato evaluado en validacion
15,SVM lineal sobre HOG (alpha=1e-5),Gradientes HOG,Estandarizacion,4356,13999,3003,0.6563436563436563,0.6563453924636129,0.65814266487214,0.6511318242343542,0.6546184738955824,0.7149629940448046,0.69580458885602,0.31268967536183034,1.3124099370324984,0.019028601766964953,Candidato evaluado en validacion
16,Regresion logistica con PCA sobre pixeles grises (200 comp.),Pixeles gris 32x32,Estandarizacion + PCA con whitening,1024,13999,3003,0.653013653013653,0.6530173847705614,0.6566757493188011,0.6418109187749668,0.6491582491582492,0.7086975305411128,0.6669880184562146,0.3060324619131619,1.790579064982012,0.004282174484641144,Candidato evaluado en validacion
17,Regresion logistica sobre color,Color,Estandarizacion,136,13999,3003,0.6416916416916417,0.6416818437065037,0.6339622641509434,0.6711051930758988,0.6520051746442432,0.7036338845563233,0.6754836516265651,0.28336921778981916,5.119307568995282,0.0022949280742651378,Candidato evaluado en validacion
18,Regresion logistica con PCA sobre pixeles grises (100 comp.),Pixeles gris 32x32,Estandarizacion + PCA con whitening,1024,13999,3003,0.6426906426906427,0.6426927099643291,0.6446392447741065,0.6364846870838882,0.6405360134003351,0.6910945299671502,0.652237185373538,0.2853842173792416,1.6125287540489808,0.003978514518493261,Candidato evaluado en validacion
19,Regresion logistica SGD sobre pixeles grises (alpha=1e-4),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.6167166167166167,0.6167166851038499,0.6169220519653564,0.6165113182423435,0.6167166167166167,0.6711145077715612,0.6453002605753302,0.23343331843721615,1.0648356430465356,0.0078981861508105,Candidato evaluado en validacion
20,Regresion logistica SGD sobre pixeles grises (alpha=1e-3),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.624042624042624,0.6240424714637645,0.6240851630073186,0.6245006657789614,0.6242928452579035,0.671111402873007,0.6487483402870193,0.24808499794743988,0.993063202011399,0.0043242913616565,Candidato evaluado en validacion
21,Naive Bayes Gaussiano sobre pixeles grises,Pixeles gris 32x32,Sin estandarizacion,1024,13999,3003,0.6187146187146187,0.6186949490397435,0.6063132817153067,0.677762982689747,0.6400502986482238,0.647724198071237,0.6055092061236634,0.23739921713563195,0.2722245630575344,0.007681682649435419,Candidato evaluado en validacion
22,Regresion logistica SGD sobre pixeles grises (alpha=1e-5),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.6153846153846154,0.6153811351686536,0.6131767775603392,0.625832223701731,0.6194398682042833,0.64555099086184,0.6109590418774589,0.23076385686940237,0.5727859920589253,0.004698411904863425,Candidato evaluado en validacion
23,SVM lineal sobre pixeles grises (alpha=1e-3),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.5990675990675991,0.5990668892731077,0.5988063660477454,0.6011984021304927,0.6,0.6426550076247437,0.6160213585780163,0.19813404219740172,0.46024543209932745,0.004957744924899264,Candidato evaluado en validacion
24,"k-NN con PCA sobre pixeles grises (100 comp., k=11)",Pixeles gris 32x32,Estandarizacion + PCA con whitening,1024,13999,3003,0.5654345654345654,0.5653146459839025,0.538133952768099,0.9254327563249002,0.6805385556915544,0.6421919341832476,0.6196449472069678,0.13066061687389063,1.2366370019735768,0.053255038960522666,Candidato evaluado en validacion
25,Arbol de decision sobre estadisticos,Color + textura + frecuencia,Sin estandarizacion,376,13999,3003,0.6193806193806194,0.6193669377982366,0.6104615384615385,0.6604527296937417,0.6344739366805244,0.6403103656594672,0.5974344990278078,0.2387403881362139,2.8292067899601534,0.0005852137752748155,Candidato evaluado en validacion
26,SVM lineal sobre pixeles grises (alpha=1e-4),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.5987345987345988,0.598742205595737,0.6036287508722958,0.5758988015978695,0.5894378194207837,0.6359808064042525,0.6093051937114177,0.19748138919019498,0.46680226491298527,0.0037594418941717563,Candidato evaluado en validacion
27,SVM lineal sobre frecuencia,Frecuencia,Estandarizacion,53,13999,3003,0.5947385947385947,0.594738660688702,0.5949367088607594,0.5945406125166445,0.5947385947385947,0.6303015033918798,0.6074178363427714,0.18947727935542313,0.04740676505025476,0.0005423446374136212,Candidato evaluado en validacion
28,SVM lineal sobre pixeles grises (alpha=1e-5),Pixeles gris 32x32,Estandarizacion,1024,13999,3003,0.5870795870795871,0.5870861946452033,0.5908460471567267,0.5672436750998668,0.5788043478260869,0.6218570664386193,0.585088769280782,0.17417007166010512,0.3202729349723086,0.003471316686293958,Candidato evaluado en validacion
29,"k-NN con PCA sobre pixeles grises (200 comp., k=11)",Pixeles gris 32x32,Estandarizacion + PCA con whitening,1024,13999,3003,0.5437895437895438,0.543651990550463,0.524070021881838,0.9567243675099867,0.677191328934967,0.620122537039222,0.5995933929404313,0.08732799676291847,1.3956170949386433,0.06765748021080271,Candidato evaluado en validacion
30,SVM lineal sobre textura,Textura,Estandarizacion,187,13999,3003,0.5697635697635698,0.5697790465477519,0.5770925110132159,0.5233022636484687,0.5488826815642458,0.5960943924644999,0.5595079427001974,0.1395537600928246,0.11751536605879664,0.0010481455245173418,Candidato evaluado en validacion
31,Baseline aleatorio estratificado,Color,Sin estandarizacion,136,13999,3003,0.4988344988344988,0.49883277992212915,0.4990112063282795,0.503994673768309,0.5014905597880093,0.49883277992212915,0.49958423822539966,-0.0023344479216960146,0.00903725007083267,0.00037881351890779914,Candidato evaluado en validacion
